Location_ID,Start_Lat,Start_Lng,End_Lat,End_Lng
161,40.048183,-82.945183,,
162,39.77792,-84.246872,,
163,41.313236,-81.810959,,
164,39.691998,-84.043655,,
165,39.852417,-82.93860600000002,,
166,39.956909,-83.044914,,
167,39.602947,-82.951836,,
168,39.89188400000001,-83.087547,,
169,39.78508400000001,-84.210564,,
170,40.1105,-82.977524,,
171,40.757088,-82.50975,,
172,40.004749,-82.867638,,
173,40.033955,-83.000862,,
174,38.929512,-83.495262,,
175,39.973419,-83.081558,,
176,39.797958,-84.255135,,
177,40.057369,-82.903717,,
178,39.847927,-82.848274,,
179,40.051949,-83.03280600000002,,
180,39.772823,-84.135612,,
181,39.673203,-84.221886,,
182,39.76244000000001,-84.20506999999998,,
183,39.79166,-84.169342,,
184,39.72757,-84.13549,,
185,38.455898,-81.93562299999998,,
186,39.764778,-84.177193,,
187,40.016014,-82.903442,,
188,39.686901,-83.911812,,
189,39.74403,-84.214638,,
190,39.955738,-83.002953,,
191,38.98587,-84.052551,,
192,41.12336,-81.652626,,
193,41.403664,-82.13942,,
194,39.719009,-84.21461500000002,,
195,39.741764,-84.209923,,
196,39.933804,-82.78944399999997,,
197,38.997852,-84.043739,,
198,40.080402,-82.87745699999998,,
199,41.04023,-81.608711,,
200,39.749664,-84.201012,,
201,41.039204,-81.631744,,
202,40.993484,-82.03600300000002,,
203,39.732441,-84.224243,,
204,39.792931,-84.215195,,
205,39.948299,-82.047081,,
206,39.67263,-84.216522,,
207,41.172302,-83.64917,,
208,39.615208,-84.22731800000003,,
209,39.790604,-84.25140400000002,,
210,39.968788,-83.003754,,
211,39.905334,-82.968689,,
212,39.855103,-84.183678,,
213,41.414131,-81.632141,,
214,39.75782,-83.303154,,
215,41.42181,-81.734482,,
216,39.819839,-84.189087,,
217,39.745735,-84.120644,,
218,39.626396,-84.20768699999998,,
219,39.761005,-84.15855400000002,,
220,39.765377,-84.155914,,
221,39.936871,-82.936317,,
222,41.420666,-81.81644399999998,,
223,39.607605,-84.15598299999998,,
224,39.819809,-84.18710300000002,,
225,41.371895,-81.820786,,
226,39.999187,-83.075813,,
227,39.741695,-84.163101,,
228,41.423275,-81.76001,,
229,39.993843,-82.985054,,
230,41.36974,-81.821457,,
231,41.420506,-81.816078,,
232,39.869961,-84.137642,,
233,39.695045,-84.10419499999998,,
234,39.754223,-84.224075,,
235,39.759544,-84.191811,,
236,39.755566,-84.180534,,
237,39.960938,-84.189583,,
238,39.609039,-84.155869,,
239,39.953472,-82.960274,,
240,40.106297,-83.036079,,
241,39.812687,-84.22734799999998,,
242,39.724258,-84.213142,,
243,39.929554,-82.995773,,
244,39.915928,-82.98246800000003,,
245,39.009884,-84.173073,,
246,39.737701,-84.134987,,
247,39.974285,-82.961174,,
248,40.152611,-82.686996,,
249,39.786629,-84.18869000000002,,
250,40.016937,-83.156601,,
251,40.003746,-83.15389300000002,,
252,39.736061,-84.093002,,
253,41.375961,-83.647453,,
254,39.953648,-82.960373,,
255,39.767757,-84.231712,,
256,39.800312,-84.218811,,
257,39.754055,-84.17588,,
258,39.712257,-84.201782,,
259,39.759201,-84.149101,,
260,39.759472,-84.243698,,
261,39.797668,-84.217506,,
262,39.763664,-84.193298,,
263,39.758121,-84.191414,,
264,40.266499,-82.927544,,
265,40.099384,-83.155396,,
266,39.981926,-83.046265,,
267,39.786633,-84.170837,,
268,39.765259,-84.13780200000002,,
269,40.10564,-82.949692,,
270,39.762531,-84.1427,,
271,41.428753,-83.61036700000002,,
272,39.985336,-82.78984100000002,,
273,39.955517,-82.87687700000002,,
274,39.763615,-84.142586,,
275,40.136345,-83.00573,,
276,39.76516,-84.157234,,
277,39.772438,-84.14218100000002,,
278,39.981968,-83.008698,,
279,39.232101,-84.16014100000002,,
280,40.061661,-82.99807,,
281,40.082397,-82.906921,,
282,39.317173,-84.220894,,
